turkish,english
bir,One
bu,This 
ve,And
ne,What
için,for  
mi,is it
ben,I
çok,A lot
de,also
ama,But
var,there is
evet,Yes
mı,is it
değil,not
hayır,No
şey,thing
da,in
sen,you
daha,more
bana,To me
kadar,much
bunu,this
onu,him-her-it
tamam,Ok
seni,You
beni,Me
iyi,Good
yok,no
gibi,like
benim,Mine
her,each
sana,to you
ki,that
sadece,Only
neden,From where
senin,your
burada,Here
zaman,time
olduğunu,that
nasıl,How
hiç,none
şimdi,Now
sonra,later
en,-most
mu,is it
misin,will you
şu,This
ya,or
öyle,like that
biraz,A little
önce,before
musun,are you
güzel,Beautiful
hadi,Come on
ona,him
İyi,Good
oldu,happened
bak,look
lütfen,Please
yani,well
böyle,like this
geri,back
eğer,if
bile,even    
onun,her
istiyorum,I want
çünkü,Because
biliyorum,I know
gerçekten,Really
artık,Now
belki,maybe
peki,Alright
kim,who
hey,Hey
başka,Another
tek,only
doğru,TRUE
bay,Mr
olarak,aspect
büyük,big
buraya,here
biri,someone
tanrım,God
olan,the one which...
sanırım,I think
adam,man
olacak,will be
olur,It is possible
yardım,help
demek,means
hiçbir,no
bilmiyorum,I don't know
efendim,Sir
nerede,where
bunun,this
biz,We
teşekkürler,thanks
ile,with
orada,there
merhaba,Hello
et,meat
fazla,more
İşte,At work
yeni,new
kötü,bad
biliyor,he knows
gece,night
gün,day
harika,Wonderful
tüm,all
ederim,thank you
son,end
bütün,all
haydi,lets
iki,two
şeyi,thing
şeyler,things
tam,full
sorun,problem
üzgünüm,I am sad
hemen,immediately
ol,be
olsun,let it be
küçük,Small
siz,you
onları,Them 
size,to you
oh,oh
gerek,necessary
hakkında,about
ver,give
gel,come
olabilir,it could be
devam,continue
aynı,same
diye,saying
kız,girl
bize,to us
bizi,we
buna,this
teşekkür,Thanks
bayan,woman
pekala,ok
kendi,own
oluyor,is happening
izin,permission
tabii,of course
iş,work
sizi,you
yüzden,so
kimse,noone
lanet,curse
dur,Stop
hala,still
git,go
seninle,With you
selam,hi
dostum,my friend
asla,never
mısın,will you
değilim,I am not
önemli,important
baba,father
içinde,inside
tekrar,again
mü,is it
